16, 128, 8 16, 128, 8 16, 8, 4
32, 128, 8 16, 128, 8 16, 8, 4
64, 128, 8 16, 128, 8 16, 8, 4
128, 128, 8 16, 128, 8 16, 8, 4
16, 256, 8 16, 256, 8 16, 8, 4
32, 256, 8 16, 256, 8 16, 8, 4
64, 256, 8 16, 256, 8 16, 8, 4
128, 256, 8 16, 256, 8 16, 8, 4
32, 64, 8 32, 64, 8 16, 8, 4
32, 128, 8 32, 64, 8 16, 8, 4
64, 64, 8 32, 64, 8 16, 8, 4
64, 128, 8 32, 64, 8 16, 8, 4
128, 64, 8 32, 64, 8 16, 8, 4
128, 128, 8 32, 64, 8 16, 8, 4
32, 128, 8 32, 128, 8 16, 8, 4
32, 256, 8 32, 128, 8 16, 8, 4
64, 128, 8 32, 128, 8 16, 8, 4
64, 256, 8 32, 128, 8 16, 8, 4
128, 128, 8 32, 128, 8 16, 8, 4
128, 256, 8 32, 128, 8 16, 8, 4
256, 128, 8 32, 128, 8 16, 8, 4
64, 32, 8 64, 32, 8 16, 8, 4
64, 64, 8 64, 32, 8 16, 8, 4
64, 128, 8 64, 32, 8 16, 8, 4
128, 32, 8 64, 32, 8 16, 8, 4
128, 64, 8 64, 32, 8 16, 8, 4
128, 128, 8 64, 32, 8 16, 8, 4
64, 64, 8 64, 64, 8 16, 8, 4
64, 128, 8 64, 64, 8 16, 8, 4
64, 256, 8 64, 64, 8 16, 8, 4
128, 64, 8 64, 64, 8 16, 8, 4
128, 128, 8 64, 64, 8 16, 8, 4
128, 256, 8 64, 64, 8 16, 8, 4
256, 64, 8 64, 64, 8 16, 8, 4
256, 128, 8 64, 64, 8 16, 8, 4
128, 32, 8 128, 16, 8 16, 8, 4
128, 64, 8 128, 16, 8 16, 8, 4
128, 128, 8 128, 16, 8 16, 8, 4
128, 32, 8 128, 32, 8 16, 8, 4
128, 64, 8 128, 32, 8 16, 8, 4
128, 128, 8 128, 32, 8 16, 8, 4
128, 256, 8 128, 32, 8 16, 8, 4
256, 32, 8 128, 32, 8 16, 8, 4
256, 64, 8 128, 32, 8 16, 8, 4
256, 128, 8 128, 32, 8 16, 8, 4
256, 32, 8 256, 16, 8 16, 8, 4
