16, 128, 16 16, 64, 16 8, 8, 4
16, 256, 16 16, 64, 16 8, 8, 4
32, 64, 16 16, 64, 16 8, 8, 4
32, 128, 16 16, 64, 16 8, 8, 4
32, 256, 16 16, 64, 16 8, 8, 4
64, 64, 16 16, 64, 16 8, 8, 4
64, 128, 16 16, 64, 16 8, 8, 4
128, 64, 16 16, 64, 16 8, 8, 4
16, 256, 16 16, 128, 16 8, 8, 4
32, 128, 16 16, 128, 16 8, 8, 4
32, 256, 16 16, 128, 16 8, 8, 4
64, 128, 16 16, 128, 16 8, 8, 4
64, 256, 16 16, 128, 16 8, 8, 4
128, 128, 16 16, 128, 16 8, 8, 4
32, 64, 16 32, 32, 16 8, 8, 4
32, 128, 16 32, 32, 16 8, 8, 4
32, 256, 16 32, 32, 16 8, 8, 4
64, 32, 16 32, 32, 16 8, 8, 4
64, 64, 16 32, 32, 16 8, 8, 4
64, 128, 16 32, 32, 16 8, 8, 4
128, 32, 16 32, 32, 16 8, 8, 4
128, 64, 16 32, 32, 16 8, 8, 4
256, 32, 16 32, 32, 16 8, 8, 4
32, 128, 16 32, 64, 16 8, 8, 4
32, 256, 16 32, 64, 16 8, 8, 4
64, 64, 16 32, 64, 16 8, 8, 4
64, 128, 16 32, 64, 16 8, 8, 4
64, 256, 16 32, 64, 16 8, 8, 4
128, 64, 16 32, 64, 16 8, 8, 4
128, 128, 16 32, 64, 16 8, 8, 4
256, 64, 16 32, 64, 16 8, 8, 4
64, 32, 16 64, 16, 16 8, 8, 4
64, 64, 16 64, 16, 16 8, 8, 4
64, 128, 16 64, 16, 16 8, 8, 4
128, 32, 16 64, 16, 16 8, 8, 4
128, 64, 16 64, 16, 16 8, 8, 4
256, 32, 16 64, 16, 16 8, 8, 4
64, 64, 16 64, 32, 16 8, 8, 4
64, 128, 16 64, 32, 16 8, 8, 4
64, 256, 16 64, 32, 16 8, 8, 4
128, 32, 16 64, 32, 16 8, 8, 4
128, 64, 16 64, 32, 16 8, 8, 4
128, 128, 16 64, 32, 16 8, 8, 4
256, 32, 16 64, 32, 16 8, 8, 4
256, 64, 16 64, 32, 16 8, 8, 4
128, 32, 16 128, 16, 16 8, 8, 4
128, 64, 16 128, 16, 16 8, 8, 4
128, 128, 16 128, 16, 16 8, 8, 4
256, 32, 16 128, 16, 16 8, 8, 4
256, 64, 16 128, 16, 16 8, 8, 4
16, 128, 32 16, 64, 32 8, 8, 4
32, 64, 32 16, 64, 32 8, 8, 4
32, 128, 32 16, 64, 32 8, 8, 4
64, 64, 32 16, 64, 32 8, 8, 4
64, 128, 32 16, 64, 32 8, 8, 4
128, 64, 32 16, 64, 32 8, 8, 4
32, 128, 32 16, 128, 32 8, 8, 4
64, 128, 32 16, 128, 32 8, 8, 4
32, 64, 32 32, 32, 32 8, 8, 4
32, 128, 32 32, 32, 32 8, 8, 4
64, 32, 32 32, 32, 32 8, 8, 4
64, 64, 32 32, 32, 32 8, 8, 4
64, 128, 32 32, 32, 32 8, 8, 4
128, 32, 32 32, 32, 32 8, 8, 4
128, 64, 32 32, 32, 32 8, 8, 4
32, 128, 32 32, 64, 32 8, 8, 4
64, 64, 32 32, 64, 32 8, 8, 4
64, 128, 32 32, 64, 32 8, 8, 4
128, 64, 32 32, 64, 32 8, 8, 4
64, 32, 32 64, 16, 32 8, 8, 4
64, 64, 32 64, 16, 32 8, 8, 4
64, 128, 32 64, 16, 32 8, 8, 4
128, 32, 32 64, 16, 32 8, 8, 4
128, 64, 32 64, 16, 32 8, 8, 4
64, 64, 32 64, 32, 32 8, 8, 4
64, 128, 32 64, 32, 32 8, 8, 4
128, 32, 32 64, 32, 32 8, 8, 4
128, 64, 32 64, 32, 32 8, 8, 4
128, 32, 32 128, 16, 32 8, 8, 4
128, 64, 32 128, 16, 32 8, 8, 4
